Name a-axis[m] b-axis[m]
ATS77 6378135 6356750.305
Airy 6377563.396 6356256.91
Australian_National 6378160 6356774.719
Bessel-Modified 6377492.018 6356173.509
Bessel_1841 6377397.155 6356078.963
Bessel_Namibia-GLM 6377483.865 6356165.383
Clarke_1858 6378293.645 6356617.988
Clarke_1866 6378206.4 6356583.8
Clarke_1866-Michigan 6378450.047 6356826.62
Clarke_1880 6378249.145 6356514.966
Clarke_1880-Benoit 6378300.789 6356566.435
Clarke_1880-IGN 6378249.2 6356515
Clarke_1880-Palestine 6378300.789 6356566.412
Clarke_1880-RGS 6378249.145 6356514.87
Danish_1876 6377019.27 6355762.539
Everest_1830 6377276.345 6356075.413
Everest_1830-1937_Adjustment 6377276.345 6356075.413
Everest_1830-1967_Definition 6377298.556 6356097.55
Everest_1830-1975_Adjustment 6377299.151 6356098.145
Everest_1956 6377301.243 6356100.228
GRS_1967-Indonesia_1974 6378160 6356774.516
GRS_1967_Modified 6378160 6356774.719
GRS_1980 6378137 6356752.314
Helmert_1906 6378200 6356818.17
Hough 6378270 6356794.343
International_1909-Hayford-Intl_1924 6378388 6356911.946
International_1967 6378157.5 6356772.2
Krassovsky 6378245 6356863.019
MN_County-Anoka 6378418.941 6357033.31
MN_County-Becker 6378586.581 6357200.388
MN_County-Beltrami_North 6378505.809 6357119.886
MN_County-Beltrami_South 6378544.823 6357158.77
MN_County-Benton 6378490.569 6357104.698
MN_County-Big_Stone 6378470.757 6357084.952
MN_County-Blue_Earth 6378403.701 6357018.121
MN_County-Brown 6378434.181 6357048.499
MN_County-Carlton 6378454.907 6357069.155
MN_County-Carver 6378400.653 6357015.083
MN_County-Cass_North 6378567.378 6357181.249
MN_County-Cass_South 6378546.957 6357160.896
MN_County-Chippewa 6378476.853 6357091.028
MN_County-Chisago 6378411.321 6357025.715
MN_County-Cook_North 6378647.541 6357261.143
MN_County-Cook_South 6378647.541 6357261.143
MN_County-Cottonwood 6378514.953 6357129
MN_County-Crow_Wing 6378546.957 6357160.896
MN_County-Dakota 6378421.989 6357036.347
MN_County-Dodge 6378481.425 6357095.584
MN_County-Douglas 6378518.001 6357132.038
MN_County-Faribault 6378521.049 6357135.075
MN_County-Fillmore 6378464.661 6357078.876
MN_County-Freeborn 6378521.049 6357135.075
MN_County-Goodhue 6378434.181 6357048.499
MN_County-Grant 6378518.001 6357132.038
MN_County-Hennepin 6378418.941 6357033.31
MN_County-Houston 6378436.619 6357050.928
MN_County-Isanti 6378411.321 6357025.715
MN_County-Itasca_North 6378574.389 6357188.237
MN_County-Itasca_South 6378574.389 6357188.237
MN_County-Jackson 6378521.049 6357135.075
MN_County-Kanabec 6378472.281 6357086.471
MN_County-Kandiyohi 6378498.189 6357112.292
MN_County-Kittson 6378449.421 6357063.688
MN_County-Koochiching 6378525.621 6357139.632
MN_County-Lac_Qui_Parle 6378476.853 6357091.028
MN_County-Lake_of_the_Woods_North 6378466.185 6357080.395
MN_County-Lake_of_the_Woods_South 6378496.665 6357110.773
MN_County-Le_Sueur 6378434.181 6357048.499
MN_County-Lincoln 6378643.579 6357257.195
MN_County-Lyon 6378559.758 6357173.655
MN_County-Mahnomen 6378586.581 6357200.388
MN_County-Marshall 6378441.801 6357056.093
MN_County-Martin 6378521.049 6357135.075
MN_County-McLeod 6378414.369 6357028.753
MN_County-Meeker 6378498.189 6357112.292
MN_County-Morrison 6378502.761 6357116.849
MN_County-Mower 6378521.049 6357135.075
MN_County-Murray 6378617.061 6357230.765
MN_County-Nicollet 6378403.701 6357018.121
MN_County-Nobles 6378624.681 6357238.36
MN_County-Norman 6378468.623 6357082.825
MN_County-Olmsted 6378481.425 6357095.584
MN_County-Ottertail 6378525.621 6357139.632
MN_County-Pennington 6378445.763 6357060.042
MN_County-Pine 6378472.281 6357086.471
MN_County-Pipestone 6378670.401 6357283.927
MN_County-Polk 6378445.763 6357060.042
MN_County-Pope 6378502.761 6357116.849
MN_County-Ramsey 6378418.941 6357033.31
MN_County-Red_Lake 6378445.763 6357060.042
MN_County-Redwood 6378438.753 6357053.055
MN_County-Renville 6378414.369 6357028.753
MN_County-Rice 6378434.181 6357048.499
MN_County-Rock 6378624.681 6357238.36
MN_County-Roseau 6378449.421 6357063.688
MN_County-Scott 6378421.989 6357036.347
MN_County-Sherburne 6378443.325 6357057.612
MN_County-Sibley 6378414.369 6357028.753
MN_County-St_Louis_Central 6378605.783 6357219.525
MN_County-St_Louis_North 6378543.909 6357157.859
MN_County-St_Louis_South 6378540.861 6357154.821
MN_County-Stearns 6378502.761 6357116.849
MN_County-Steele 6378481.425 6357095.584
MN_County-Stevens 6378502.761 6357116.849
